center_XX, center_XY, center_YX, center_YY, bounding_box_size_X, bounding_box_size_Y, min_box_size_X, min_box_size_Y, contour_size_X, contour_size_Y, nut_type
313.0, 355.5, 693.5223550628871, 237.50661388784647, 132, 1035.0, 110.0, 866.5, 86.5, 655.5, 2
359.0, 337.0, 578.7449082173407, 295.6524999961257, 144, 1121.0, 121.0, 945.0, 93.0, 728.5, 2
294.5, 327.5, 738.0753355007619, 326.45452067628503, 169, 1328.5, 146.49232424918046, 1107.0, 93.5, 731.5, 2
353.0, 312.0, 592.4724654853344, 374.95768258720636, 168, 1350.0, 143.0, 1141.5, 121.0, 963.0, 2
314.0, 310.0, 688.9816242083907, 381.7144452482462, 144, 1140.0, 121.0, 962.5, 82.0, 646.5, 2
258.0, 303.0, 827.3716286383569, 404.50137992203236, 168, 1298.0, 143.0, 1107.0, 121.0, 957.0, 2
314.5, 288.0, 686.7452776432037, 451.4411323107779, 182, 1430.0, 156.0, 1230.0, 130.5, 1027.0, 2
361.5, 285.0, 570.1939673908055, 460.44692220911384, 182, 1408.0, 156.0, 1209.5, 127.0, 997.5, 2
283.5, 283.0, 763.3030018024147, 467.62117121741176, 182, 1430.0, 156.0, 1230.0, 130.5, 1032.5, 2
326.5, 254.5, 655.5027297977358, 557.4955532290041, 169, 1344.0, 144.0, 1121.0, 116.0, 901.5, 2
351.0, 361.5, 599.6715501602739, 218.082003377378, 132, 1032.5, 110.0, 864.0, 84.0, 656.0, 2
278.5, 351.5, 778.7946573179215, 250.55448136106133, 143, 1141.5, 120.0, 950.0, 98.5, 772.5, 2
308.5, 343.5, 704.1241927724332, 275.5904432721436, 121, 931.5, 100.0, 772.0, 84.0, 653.0, 2
345.0, 332.0, 613.1949942559004, 311.65055767446756, 144, 1121.0, 121.0, 945.0, 101.0, 791.5, 2
369.5, 303.5, 551.2177402060479, 401.7229780815542, 169, 1332.5, 144.0, 1140.0, 116.5, 913.5, 2
297.0, 302.0, 730.7263944670558, 407.25353173166513, 168, 1298.0, 158.38244796789513, 1146.0, 98.5, 777.0, 2
269.5, 283.0, 797.9798802547157, 467.7710381112993, 182, 1424.5, 156.0, 1224.5, 123.5, 963.5, 2
337.0, 279.0, 630.6063537858427, 479.7270182147622, 196, 1540.0, 169.0, 1312.0, 114.0, 877.0, 2
283.0, 258.0, 763.4074996784329, 546.8674775287509, 196, 1558.0, 169.0, 1349.0, 137.0, 1092.0, 2
317.0, 247.0, 678.6932801268995, 581.3695347979665, 196, 1518.0, 158.61904116566075, 1282.0, 123.5, 978.5, 2
320.0, 361.5, 676.4560667332262, 218.4138514995575, 132, 1035.0, 110.0, 852.5, 79.0, 607.0, 2
255.5, 361.0, 836.1947203613818, 220.689128767699, 132, 1045.0, 110.0, 875.0, 97.5, 762.5, 2
296.0, 331.5, 734.5413895975798, 313.7599108815193, 132, 1050.0, 110.0, 880.0, 87.0, 692.0, 2
336.0, 326.0, 635.2151223644614, 330.7647296190262, 144, 1121.0, 121.0, 945.0, 93.0, 716.0, 2
242.0, 314.5, 867.5239694211632, 368.2218175679445, 156, 1230.0, 132.0, 1045.0, 117.5, 929.0, 2
312.5, 302.0, 692.3341361805797, 407.0876076705754, 182, 1462.5, 152.1183795220113, 1238.0, 117.5, 924.5, 2
273.5, 294.0, 788.5711440071464, 432.8621992729604, 182, 1424.0, 157.0031795604027, 1201.5, 109.0, 853.5, 2
339.5, 280.5, 624.4820917863399, 474.94579903408885, 195, 1504.0, 168.0, 1298.0, 136.0, 1067.5, 2
296.5, 263.0, 730.1958735845983, 530.8747722394764, 182, 1424.5, 156.0, 1239.0, 114.0, 896.0, 2
248.0, 252.5, 849.85022415407, 564.6751546263695, 210, 1656.0, 182.0, 1408.0, 147.5, 1154.5, 2
281.0, 366.0, 773.2600555941463, 204.56796614080667, 144, 1121.0, 121.0, 945.0, 95.5, 755.5, 2
339.5, 351.5, 627.702544061467, 249.90148989483714, 121, 962.5, 100.0, 800.0, 82.0, 660.5, 2
307.5, 338.5, 706.3743202481419, 291.44933883473277, 121, 932.0, 100.0, 775.0, 87.5, 666.5, 2
273.5, 339.0, 790.6122757308185, 290.2284822128713, 132, 1026.0, 110.0, 857.5, 91.5, 734.5, 2
336.0, 317.0, 634.806896019727, 359.291473031044, 144, 1121.0, 121.0, 945.0, 103.0, 812.5, 2
264.5, 313.5, 811.7479134257883, 371.1505982168019, 169, 1332.5, 144.0, 1140.0, 119.5, 933.5, 2
303.0, 301.5, 715.8421958889812, 408.77412214130163, 156, 1209.5, 132.0, 1026.0, 106.5, 840.5, 2
318.0, 277.0, 677.5771147198975, 486.2696853131056, 196, 1540.0, 169.0, 1332.5, 132.5, 1044.0, 2
260.0, 272.0, 821.0116758942604, 502.73875322937965, 196, 1557.5, 169.0, 1349.0, 123.5, 957.5, 2
299.5, 245.5, 721.9713404681534, 586.3113256506622, 169, 1312.0, 144.0, 1121.0, 122.0, 940.0, 2
279.0, 370.5, 778.4180085454136, 190.3260039910674, 110, 875.0, 90.0, 697.5, 73.5, 569.0, 1
322.5, 368.0, 670.5585971474648, 197.7844415344298, 110, 864.0, 90.0, 686.0, 69.5, 537.0, 1
284.0, 352.0, 765.1942771673203, 248.91078600287437, 100, 759.5, 81.0, 616.0, 67.5, 513.0, 1
333.0, 348.0, 643.6437686532736, 261.06480450183153, 100, 759.5, 81.0, 630.0, 68.0, 529.5, 1
243.0, 341.0, 866.2490493245423, 284.2157016322017, 120, 931.0, 99.0, 770.0, 79.0, 621.0, 1
311.0, 333.5, 697.4783082213253, 307.26006289571524, 110, 875.0, 90.0, 709.0, 69.0, 531.5, 1
350.5, 322.0, 599.1183500364423, 343.28806296363473, 110, 864.0, 90.0, 710.5, 72.5, 584.0, 1
273.5, 321.0, 789.7958230413496, 347.28196903690696, 132, 1045.0, 110.0, 875.0, 73.5, 591.5, 1
223.0, 316.0, 914.653485044837, 363.67075111716986, 120, 944.0, 99.0, 769.5, 73.0, 573.0, 1
296.5, 313.5, 732.4864769633859, 370.80804531648755, 121, 945.0, 100.0, 784.0, 83.0, 660.5, 1
260.0, 308.5, 822.6672605145723, 387.04696050286293, 110, 857.5, 90.0, 720.0, 74.5, 590.5, 1
330.5, 307.0, 647.9763705842197, 391.0467308796942, 132, 1039.5, 110.0, 857.5, 77.5, 605.0, 1
290.5, 292.5, 746.3954681623727, 437.43467528000474, 121, 932.0, 100.0, 775.0, 87.0, 666.5, 1
370.0, 292.0, 549.4576577097178, 438.16846449673176, 144, 1140.0, 121.0, 962.5, 91.0, 714.5, 1
324.0, 286.0, 663.1238217279315, 457.6787132322788, 144, 1140.0, 115.1086470785558, 896.0, 90.0, 709.0, 1
262.5, 285.5, 815.4317156877369, 459.92187616601586, 121, 945.0, 100.0, 784.0, 89.5, 708.0, 1
349.0, 275.5, 600.7245604228228, 490.6922944262624, 156, 1209.5, 124.99999833934999, 981.0, 96.5, 765.5, 1
220.0, 275.5, 920.2472261618823, 492.0732108056545, 156, 1209.5, 132.0, 1026.0, 101.0, 797.5, 1
289.5, 269.5, 747.8291429486126, 510.34705766662955, 143, 1141.5, 120.0, 962.5, 99.0, 774.5, 1
375.5, 268.0, 534.7459947317839, 514.1809039823711, 132, 1045.0, 110.0, 875.0, 84.0, 675.0, 1
260.0, 252.5, 820.1271854806691, 564.5466972887516, 156, 1245.5, 132.0, 1045.0, 102.5, 797.5, 1
330.0, 249.5, 646.6067177709192, 573.3062772899866, 156, 1209.5, 132.0, 1045.0, 104.0, 805.5, 1
302.0, 246.5, 715.8243992272764, 583.1149255484343, 156, 1209.5, 132.0, 1026.0, 102.0, 809.5, 1
366.0, 235.5, 556.8025829922408, 617.2958394736052, 156, 1209.5, 132.0, 1026.0, 111.0, 860.5, 1
279.0, 370.0, 778.3953293040395, 191.91082306951284, 100, 775.0, 81.0, 616.0, 63.5, 493.5, 1
250.0, 369.0, 850.1806476153433, 195.39089979231358, 100, 784.0, 81.0, 638.0, 66.0, 523.5, 1
322.5, 368.0, 670.5585971474648, 197.7844415344298, 110, 864.0, 90.0, 686.0, 70.0, 545.0, 1
361.0, 363.0, 574.9703889898956, 213.22049836069345, 100, 800.0, 82.00000817632827, 630.0, 59.0, 474.5, 1
284.0, 352.0, 765.1942771673203, 248.91078600287437, 100, 759.5, 81.0, 616.0, 68.0, 520.0, 1
379.0, 349.0, 529.7508122213185, 257.4027465507388, 100, 784.0, 81.0, 638.0, 71.0, 568.5, 1
333.0, 348.0, 643.6437686532736, 261.06480450183153, 100, 759.5, 81.0, 630.0, 66.0, 514.5, 1
243.0, 340.5, 866.2263700831681, 285.8005207106471, 110, 857.5, 90.0, 704.0, 79.5, 620.5, 1
360.5, 339.0, 575.1202453486621, 289.2971665151417, 110, 864.0, 90.0, 710.5, 65.0, 525.0, 1
300.0, 339.0, 724.9738986603916, 289.9448055922985, 120, 962.5, 99.0, 776.5, 82.5, 634.5, 1
332.5, 333.0, 644.2018513567746, 308.614729244262, 110, 880.0, 90.0, 725.0, 66.5, 516.0, 1
379.0, 330.5, 528.9116802904755, 316.0410524532199, 110, 875.0, 90.0, 720.0, 67.0, 534.0, 1
310.5, 320.5, 698.1271078903228, 348.47071132436395, 121, 931.5, 100.0, 759.5, 79.5, 611.0, 1
273.5, 321.0, 789.7958230413496, 347.28196903690696, 132, 1045.0, 110.0, 875.0, 85.0, 678.5, 1
222.5, 316.0, 915.891944989562, 363.67610350623727, 110, 864.0, 90.0, 712.5, 75.5, 596.0, 1
354.5, 315.5, 588.9158403407782, 363.8478918708861, 121, 945.0, 100.0, 800.0, 83.0, 660.0, 1
254.5, 311.0, 836.4037161134183, 379.1817413903773, 132, 1026.0, 110.0, 875.0, 85.0, 663.0, 1
390.5, 308.5, 499.4292149413377, 385.64998695626855, 121, 945.0, 100.0, 784.0, 71.0, 560.0, 1
313.5, 298.0, 689.6757823601365, 419.75545552000403, 132, 1045.0, 110.0, 875.0, 86.5, 677.5, 1
228.5, 296.5, 900.1459352392703, 425.4198188968003, 121, 949.0, 100.0, 759.5, 76.5, 596.5, 1
279.5, 292.5, 773.6415869463235, 437.5524278394878, 121, 949.0, 100.0, 787.5, 74.5, 591.5, 1
338.5, 290.0, 627.3899172618985, 444.8449413217604, 132, 1026.0, 110.0, 863.0, 94.5, 729.5, 1
297.5, 281.5, 728.5580856259912, 472.22576155886054, 143, 1107.0, 120.0, 931.0, 94.5, 745.5, 1
239.0, 274.0, 873.1177105382085, 496.6242772564292, 144, 1140.0, 121.0, 962.5, 91.0, 719.0, 1
319.5, 350.0, 677.1729041263461, 254.8700426928699, 110, 866.5, 90.0, 686.0, 63.5, 493.5, 1
366.5, 337.5, 560.1906882878393, 293.9873950816691, 121, 962.5, 100.0, 800.0, 78.0, 613.0, 1
273.0, 335.0, 791.6693017445505, 302.9123872295022, 120, 931.0, 99.0, 765.0, 68.5, 537.0, 1
241.5, 334.5, 869.6695990208536, 304.83440681919456, 121, 962.5, 100.0, 800.0, 76.5, 608.0, 1
327.5, 323.5, 656.1555452179164, 338.77981562539935, 121, 962.5, 100.0, 784.0, 80.5, 635.0, 1
386.5, 313.5, 509.56368691287935, 369.8446152843535, 121, 945.0, 100.0, 784.0, 73.0, 581.5, 1
258.5, 312.5, 826.5640742797405, 374.3844650425017, 121, 932.0, 100.0, 759.5, 83.5, 640.0, 1
296.5, 311.5, 732.3957599978894, 377.1473216302693, 121, 945.0, 100.0, 784.0, 81.0, 637.0, 1
335.0, 306.0, 636.7848725989461, 394.1681975349784, 144, 1121.0, 122.2006523544087, 943.0, 85.0, 670.0, 1
274.0, 304.0, 787.786268889904, 401.1604653149843, 120, 931.0, 99.0, 770.0, 88.0, 685.5, 1
225.5, 290.0, 907.2818647697568, 446.0545812509954, 132, 1059.0, 110.0, 875.0, 88.0, 689.0, 1
359.5, 284.5, 575.1251279283315, 462.0531508438289, 143, 1127.5, 120.0, 931.0, 91.0, 712.0, 1
261.5, 283.0, 817.7952393703163, 467.85667633637786, 132, 1045.0, 110.0, 862.5, 94.5, 745.0, 1
310.5, 282.0, 696.3808063045144, 470.5017803646624, 132, 1026.0, 110.0, 875.0, 83.0, 648.5, 1
281.5, 270.0, 767.6671813055873, 508.8478768132627, 132, 1045.0, 110.0, 862.5, 94.0, 736.5, 1
371.5, 260.0, 544.290806427598, 539.5808283500373, 132, 1045.0, 110.0, 875.0, 97.0, 761.0, 1
249.0, 259.0, 847.6681344024837, 544.061801828444, 144, 1136.0, 121.0, 945.0, 96.0, 752.5, 1
333.0, 255.5, 639.4481089990586, 554.2563340142369, 156, 1230.0, 132.0, 1045.0, 104.0, 814.5, 1
306.0, 249.5, 706.052795117721, 573.5631919652224, 156, 1245.5, 132.0, 1045.0, 101.0, 798.0, 1
227.5, 228.0, 899.5157990604639, 642.5507374219596, 182, 1408.0, 156.0, 1209.5, 117.5, 925.5, 1
273.0, 226.5, 786.7479063663632, 646.8181272521615, 156, 1209.5, 132.0, 1026.0, 113.0, 881.0, 1
